id_klienta,nazwa
QXS661,Klient_0
WHP557,Klient_1
IWM170,Klient_2
LIC365,Klient_3
ZUK768,Klient_4
LLN033,Klient_5
MPI601,Klient_6
FKN227,Klient_7
OEI739,Klient_8
XLE240,Klient_9
YDA272,Klient_10
JSV814,Klient_11
GSC799,Klient_12
SQT230,Klient_13
BXC411,Klient_14
JSQ709,Klient_15
TSZ823,Klient_16
QFB100,Klient_17
TGA529,Klient_18
UWZ022,Klient_19
YWG521,Klient_20
WNM767,Klient_21
IOU791,Klient_22
BND278,Klient_23
WTD876,Klient_24
PYW169,Klient_25
TXQ061,Klient_26
ROA134,Klient_27
RVK014,Klient_28
NLB776,Klient_29
ERY346,Klient_30
SES931,Klient_31
BHD856,Klient_32
OPY784,Klient_33
YAN350,Klient_34
TKB298,Klient_35
SMD546,Klient_36
JNO032,Klient_37
NWU609,Klient_38
ZGT227,Klient_39
ICY223,Klient_40
MLY007,Klient_41
UFU741,Klient_42
ISJ325,Klient_43
CCN853,Klient_44
JYO351,Klient_45
PWS246,Klient_46
ZVK124,Klient_47
DPR954,Klient_48
MQZ780,Klient_49
OAT374,Klient_50
CPM427,Klient_51
NRH164,Klient_52
NBG335,Klient_53
EHE728,Klient_54
LHM231,Klient_55
UAW452,Klient_56
AKR185,Klient_57
ADN141,Klient_58
GNE850,Klient_59
JBM408,Klient_60
DYF611,Klient_61
TZY760,Klient_62
USQ879,Klient_63
HFV302,Klient_64
NEN644,Klient_65
JYI627,Klient_66
QSX012,Klient_67
OIN703,Klient_68
XYQ581,Klient_69
BIF681,Klient_70
SWM601,Klient_71
WXL741,Klient_72
XPK552,Klient_73
JQX204,Klient_74
XNV294,Klient_75
YAL994,Klient_76
VCP195,Klient_77
PUZ764,Klient_78
JJA255,Klient_79
CQW791,Klient_80
TFX037,Klient_81
IHK159,Klient_82
CBY328,Klient_83
THW819,Klient_84
SCM240,Klient_85
DCB992,Klient_86
RWQ282,Klient_87
LEZ497,Klient_88
IFR710,Klient_89
SGQ182,Klient_90
QDV623,Klient_91
VMQ150,Klient_92
GWR984,Klient_93
NGZ314,Klient_94
XDQ586,Klient_95
DEG979,Klient_96
RZP406,Klient_97
KYE349,Klient_98
EET016,Klient_99
PNQ356,Klient_100
WHA833,Klient_101
KMQ399,Klient_102
HUA227,Klient_103
YLZ136,Klient_104
MFJ881,Klient_105
VRY955,Klient_106
OJV745,Klient_107
CII665,Klient_108
RYD089,Klient_109
WXJ530,Klient_110
GSC771,Klient_111
XUV687,Klient_112
KAJ871,Klient_113
JTC270,Klient_114
CTA360,Klient_115
KHQ026,Klient_116
HTI441,Klient_117
HUT371,Klient_118
YDB492,Klient_119
BRP229,Klient_120
EUJ330,Klient_121
CNE394,Klient_122
QRK695,Klient_123
IHD469,Klient_124
FKE018,Klient_125
ITI904,Klient_126
INQ857,Klient_127
AGG899,Klient_128
RHR005,Klient_129
ZJL749,Klient_130
YPY232,Klient_131
XHT963,Klient_132
TIB324,Klient_133
HTT430,Klient_134
GYC468,Klient_135
OME981,Klient_136
KQH670,Klient_137
GVD642,Klient_138
FJY559,Klient_139
LTP138,Klient_140
LRI906,Klient_141
SWJ047,Klient_142
JJX956,Klient_143
USY961,Klient_144
TGD248,Klient_145
TLK740,Klient_146
IPN568,Klient_147
XPQ367,Klient_148
FKF979,Klient_149
BQA703,Klient_150
YWA196,Klient_151
OTM606,Klient_152
XMZ973,Klient_153
YNY321,Klient_154
ENC932,Klient_155
XQY474,Klient_156
LLM864,Klient_157
OQF831,Klient_158
KKI839,Klient_159
ZPW556,Klient_160
IIA387,Klient_161
SET091,Klient_162
RMA407,Klient_163
LCB822,Klient_164
TME476,Klient_165
CNN390,Klient_166
KYY225,Klient_167
YLU030,Klient_168
MGZ875,Klient_169
OOX894,Klient_170
CGZ972,Klient_171
AJA171,Klient_172
WEB869,Klient_173
NCQ653,Klient_174
GPB659,Klient_175
YZK583,Klient_176
ETX197,Klient_177
UVA844,Klient_178
YQC727,Klient_179
MGL582,Klient_180
QGY235,Klient_181
YJY720,Klient_182
PWY424,Klient_183
AKS301,Klient_184
AUT086,Klient_185
TEU585,Klient_186
VVT390,Klient_187
KJO915,Klient_188
